sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
123,42,B,2,0.69352,0.6792053492330586,0.2544,0.003238490880429765,0.9755801363440604,30000,0.670690811535882,0.7,0.40895218718209564,0.3819,0.3240145195185633,0.2544,0.72419945534792,0.7712,0.8022825838849578,0.8787,0.516566429743029,0.4724,0.8416429605230323,0.8432,0.9292082825822168,0.9536,0.7071838678056295,0.7575,0.8673123942072597,0.9223,grassland
123,42,C,2,0.62445,0.6104129346545448,0.1789,0.02063627220436931,3.5882686758738833,10000,0.6282440846824409,0.6306,0.37623102906893763,0.3954,0.24190386045568252,0.1789,0.6640750924433488,0.7004,0.7588971979457608,0.8423,0.447927948469475,0.3929,0.7992858205624163,0.8058,0.8279036094735753,0.8005,0.6078412296916043,0.6248,0.751819473752207,0.8729,grassland
123,42,D,2,0.64779,0.6332181954911063,0.1995,0.027994654001444595,1.6389338632008201,30000,0.6411904641392924,0.6334,0.39157935396649124,0.4055,0.2631752522920652,0.1995,0.6885077347291676,0.7366,0.7747924663036687,0.868,0.4636537680570865,0.3996,0.8076358296622613,0.825,0.8708367181153533,0.8576,0.6374498137667489,0.6589,0.7933605538789278,0.8938,grassland
123,42,A,3,0.65988,0.6469801224478811,0.2482,0.006478870989382262,1.0587999357895692,10000,0.6495070155479712,0.6851,0.3707223319630559,0.3472,0.30638192815701765,0.2482,0.6891972340522966,0.7525,0.7827628019774274,0.8392,0.48302945301542777,0.4305,0.8202252766337518,0.8265,0.8902494103477694,0.887,0.6592918262185032,0.6973,0.8184339465655912,0.8853,grassland
123,42,B,3,0.70814,0.697705633972213,0.3009,0.00553911553680899,0.9447598934278477,40000,0.6784918096345837,0.7,0.4321906102342415,0.4299,0.36938374662411,0.3009,0.737439446366782,0.7992,0.8113646949231486,0.871,0.5282094124199387,0.4742,0.8509224360245983,0.8579,0.9492789656887121,0.9545,0.7288029625354686,0.7577,0.8909722552705468,0.9361,grassland
123,42,C,3,0.6108,0.5968083619254608,0.1686,0.016213800185471763,3.343416621459655,10000,0.6194618652640097,0.6124,0.369597895527997,0.3934,0.2300293335152466,0.1686,0.6537459129033787,0.6898,0.7530023301666965,0.8402,0.43611253780745307,0.3821,0.7953839325343985,0.8064,0.797640179596951,0.7639,0.5910935132228577,0.6046,0.7220161187156198,0.8466,grassland
123,42,D,3,0.6463,0.6312242987610118,0.1961,0.02872054344490171,1.763875844077886,40000,0.6381287726358149,0.6343,0.38518733101583624,0.3989,0.2621307311856704,0.1961,0.6871866295264624,0.7401,0.7717309480582739,0.8714,0.4630146545708304,0.3981,0.8080184286624515,0.8243,0.8697236562405102,0.8592,0.6346219470579633,0.6509,0.7924998886563043,0.8897,grassland
123,42,A,4,0.66413,0.6538655676688453,0.27,0.007343167458772641,1.1059688424084677,10000,0.6543747248985181,0.669,0.3861421869361241,0.3745,0.32689630122888796,0.27,0.69,0.7521,0.7828313393231228,0.8408,0.49254142125832556,0.4474,0.8210139894830837,0.8275,0.8969569147333534,0.8931,0.6657471701702654,0.6999,0.822151628656773,0.867,grassland
123,42,B,4,0.7202,0.7080003395010946,0.3314,0.005054114787578584,0.9398224507414487,50000,0.686905916585839,0.7082,0.4234940764224929,0.3807,0.3916100443131462,0.3314,0.7434201266713582,0.7923,0.8118577793943803,0.8928,0.5459465429644356,0.4943,0.8615769712140176,0.8605,0.9590660705414804,0.9653,0.7523467697404749,0.8175,0.903779097163321,0.959,grassland
123,42,C,4,0.60751,0.5931779408594703,0.1647,0.013650974903106686,4.498223733361516,10000,0.6152986590816741,0.6057,0.36958559909994376,0.3942,0.2259724223091171,0.1647,0.6480845932659308,0.6987,0.7527364076798851,0.839,0.43309961175175293,0.3737,0.7945662301995978,0.8101,0.7936055713833492,0.7521,0.585843742346314,0.598,0.7129865714771375,0.8389,grassland
