sampling_seed,arm,gen,class,recall,precision,f1
42,D,3,shrubland,0.3486,0.38901908269166385,0.3677021254153262
42,D,3,grassland,0.1891,0.3941225510629429,0.2555750777132044
42,D,3,cropland,0.7298,0.6479623546124479,0.6864506419602125
42,D,3,built_up,0.8737,0.6850937034423273,0.767986639124511
42,D,3,bare_sparse_vegetation,0.4082,0.5449933244325768,0.466781017724414
42,D,3,permanent_water,0.8276,0.7862435873076192,0.8063918932086136
42,D,3,snow_and_ice,0.8603,0.8615923885828743,0.8609457092819615
42,D,3,herbaceous_wetland,0.6717,0.5991971454058876,0.6333804809052335
42,D,3,moss_lichen,0.8817,0.7161887742669157,0.790372462014253
42,D,4,tree_cover,0.6716,0.6313216770069562,0.6508382595212713
42,D,4,shrubland,0.3341,0.39190615835777126,0.36070175438596497
42,D,4,grassland,0.1783,0.3920404573438874,0.24511960406928784
42,D,4,cropland,0.7409,0.6292678783760829,0.6805364195829888
42,D,4,built_up,0.8682,0.6851325757575758,0.7658786167960481
42,D,4,bare_sparse_vegetation,0.4006,0.5459997274090228,0.4621330103247391
42,D,4,permanent_water,0.8274,0.787774921451014,0.807101399795152
42,D,4,snow_and_ice,0.8543,0.8705798430653215,0.8623630949376672
42,D,4,herbaceous_wetland,0.6843,0.5849217881870246,0.630720309691691
42,D,4,moss_lichen,0.8814,0.7056280521975823,0.7837801787381619
42,D,5,tree_cover,0.6702,0.6328014351808139,0.6509640134039143
42,D,5,shrubland,0.3398,0.3938796800741857,0.3648467278681484
42,D,5,grassland,0.1666,0.3963835355698311,0.2345983242976836
42,D,5,cropland,0.7364,0.6307494646680942,0.6794925028835064
42,D,5,built_up,0.8709,0.6861802710368736,0.7675832892649391
42,D,5,bare_sparse_vegetation,0.4108,0.5324692158133506,0.4637877504939316
42,D,5,permanent_water,0.8288,0.7878326996197719,0.8077972709551656
42,D,5,snow_and_ice,0.8636,0.8540348101265823,0.8587907716785999
42,D,5,herbaceous_wetland,0.6896,0.5826784959864808,0.6316464392031144
42,D,5,moss_lichen,0.8689,0.7222776392352452,0.788833408987744
42,D,6,tree_cover,0.6737,0.62733960331502,0.6496938135879261
42,D,6,shrubland,0.3496,0.39057088593453243,0.3689515065168065
42,D,6,grassland,0.1786,0.40316027088036116,0.24753984753984754
42,D,6,cropland,0.7266,0.6409102937284996,0.6810704410179501
42,D,6,built_up,0.8729,0.6860803269669103,0.7682964397306693
42,D,6,bare_sparse_vegetation,0.4009,0.5455163967886787,0.4621592022594962
42,D,6,permanent_water,0.8298,0.7854979174555092,0.8070414316280878
42,D,6,snow_and_ice,0.8566,0.8673552045362495,0.8619440531294024
42,D,6,herbaceous_wetland,0.6922,0.5802665772487215,0.6313101372611609
42,D,6,moss_lichen,0.8742,0.7223599405057015,0.7910596326124333
42,D,7,tree_cover,0.6689,0.6270153730783652,0.6472808205922198
42,D,7,shrubland,0.3436,0.3879417409958225,0.36442700323487304
42,D,7,grassland,0.1827,0.3885580603998299,0.2485376139300776
42,D,7,cropland,0.7194,0.6369753851602621,0.6756832910679064
42,D,7,built_up,0.8627,0.6899944013436775,0.7667422121494911
42,D,7,bare_sparse_vegetation,0.4086,0.535377358490566,0.46347549909255903
42,D,7,permanent_water,0.8225,0.7930768489056021,0.8075204948210691
42,D,7,snow_and_ice,0.8563,0.8569855884707767,0.8566426570628252
42,D,7,herbaceous_wetland,0.6807,0.5800102249488752,0.6263341921236658
42,D,7,moss_lichen,0.873,0.71294405879951,0.784895482130816
42,D,8,tree_cover,0.6671,0.6323822163238222,0.6492773370966958
42,D,8,shrubland,0.3502,0.3883344422266578,0.3682826795667263
42,D,8,grassland,0.1692,0.3969967151572032,0.23727387463188893
42,D,8,cropland,0.7432,0.6226541554959786,0.6776075857038658
42,D,8,built_up,0.8666,0.6888164692790716,0.7675479385323944
42,D,8,bare_sparse_vegetation,0.3971,0.546067106710671,0.4598193608151922
42,D,8,permanent_water,0.8259,0.7876215906923517,0.8063067460704871
42,D,8,snow_and_ice,0.8521,0.8708226877874298,0.861359615870609
42,D,8,herbaceous_wetland,0.6793,0.5867161858697529,0.6296227639262211
42,D,8,moss_lichen,0.8827,0.7043006462937844,0.7834731283007145
42,D,9,tree_cover,0.6699,0.6275409836065574,0.6480290205562274
42,D,9,shrubland,0.3561,0.38744423892938745,0.37111145849617005
