sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
123,C,built_up,shrubland,0.015300000086426735,0.02930000051856041,0.014000000432133675,none
123,C,built_up,grassland,0.012000000104308128,0.009100000374019146,-0.0028999997302889824,none
123,C,built_up,cropland,0.03700000047683716,0.065700002014637,0.028700001537799835,none
123,C,built_up,bare_sparse_vegetation,0.04340000078082085,0.0333000011742115,-0.010099999606609344,none
123,C,built_up,permanent_water,0.00860000029206276,0.00559999980032444,-0.0030000004917383194,none
123,C,built_up,snow_and_ice,0.0006000000284984708,0.0007999999797903001,0.00019999995129182935,none
123,C,built_up,herbaceous_wetland,0.002199999988079071,0.0031999999191612005,0.0009999999310821295,none
123,C,built_up,moss_lichen,9.999999747378752e-05,0.0015999999595806003,0.001500000013038516,none
123,C,bare_sparse_vegetation,tree_cover,0.03799999877810478,0.03480000048875809,-0.003199998289346695,none
123,C,bare_sparse_vegetation,shrubland,0.07999999821186066,0.10040000081062317,0.020400002598762512,none
123,C,bare_sparse_vegetation,grassland,0.08100000023841858,0.05139999836683273,-0.029600001871585846,attenuation
123,C,bare_sparse_vegetation,cropland,0.06539999693632126,0.09589999914169312,0.030500002205371857,none
123,C,bare_sparse_vegetation,built_up,0.14169999957084656,0.14710000157356262,0.0054000020027160645,persistence
123,C,bare_sparse_vegetation,permanent_water,0.055799998342990875,0.05889999866485596,0.003100000321865082,persistence
123,C,bare_sparse_vegetation,snow_and_ice,0.02630000002682209,0.04500000178813934,0.018700001761317253,none
123,C,bare_sparse_vegetation,herbaceous_wetland,0.04039999842643738,0.043299999088048935,0.002900000661611557,none
123,C,bare_sparse_vegetation,moss_lichen,0.05260000005364418,0.08340000361204147,0.030800003558397293,none
123,C,permanent_water,tree_cover,0.016300000250339508,0.024000000208616257,0.007699999958276749,none
123,C,permanent_water,shrubland,0.007499999832361937,0.011099999770522118,0.003599999938160181,none
123,C,permanent_water,grassland,0.004800000227987766,0.003100000089034438,-0.0017000001389533281,none
123,C,permanent_water,cropland,0.009600000455975533,0.019600000232458115,0.009999999776482582,none
123,C,permanent_water,built_up,0.020600000396370888,0.035999998450279236,0.015399998053908348,none
123,C,permanent_water,bare_sparse_vegetation,0.023900000378489494,0.02019999921321869,-0.0037000011652708054,none
123,C,permanent_water,snow_and_ice,0.014499999582767487,0.0071000000461936,-0.007399999536573887,none
123,C,permanent_water,herbaceous_wetland,0.0689999982714653,0.06710000336170197,-0.0018999949097633362,persistence
123,C,permanent_water,moss_lichen,0.003800000064074993,0.008299999870359898,0.0044999998062849045,none
123,C,snow_and_ice,tree_cover,0.0066999997943639755,0.012500000186264515,0.005800000391900539,none
123,C,snow_and_ice,shrubland,0.013199999928474426,0.023099999874830246,0.00989999994635582,none
123,C,snow_and_ice,grassland,0.004600000102072954,0.0005000000237487257,-0.004100000020116568,none
123,C,snow_and_ice,cropland,0.0003000000142492354,0.0005000000237487257,0.00020000000949949026,none
123,C,snow_and_ice,built_up,0.00139999995008111,0.0010000000474974513,-0.0003999999025836587,none
123,C,snow_and_ice,bare_sparse_vegetation,0.0071000000461936,0.01600000075995922,0.008900000713765621,none
123,C,snow_and_ice,permanent_water,0.018799999728798866,0.04340000078082085,0.02460000105202198,none
123,C,snow_and_ice,herbaceous_wetland,0.026900000870227814,0.039000000804662704,0.01209999993443489,none
123,C,snow_and_ice,moss_lichen,0.06210000067949295,0.15230000019073486,0.09019999951124191,amplification
123,C,herbaceous_wetland,tree_cover,0.01730000041425228,0.02239999920129776,0.005099998787045479,none
123,C,herbaceous_wetland,shrubland,0.05530000105500221,0.07639999687671661,0.0210999958217144,none
123,C,herbaceous_wetland,grassland,0.041200000792741776,0.026399999856948853,-0.014800000935792923,none
123,C,herbaceous_wetland,cropland,0.041600000113248825,0.0771000012755394,0.03550000116229057,none
123,C,herbaceous_wetland,built_up,0.007699999958276749,0.013000000268220901,0.005300000309944153,none
123,C,herbaceous_wetland,bare_sparse_vegetation,0.01850000023841858,0.011099999770522118,-0.0074000004678964615,none
123,C,herbaceous_wetland,permanent_water,0.08879999816417694,0.10019999742507935,0.011399999260902405,persistence
123,C,herbaceous_wetland,snow_and_ice,0.012600000016391277,0.006000000052154064,-0.006599999964237213,none
123,C,herbaceous_wetland,moss_lichen,0.062300000339746475,0.11490000039339066,0.05260000005364418,amplification
123,C,moss_lichen,tree_cover,0.00860000029206276,0.009600000455975533,0.0010000001639127731,none
123,C,moss_lichen,shrubland,0.013799999840557575,0.016300000250339508,0.002500000409781933,none
123,C,moss_lichen,grassland,0.005100000184029341,0.01209999993443489,0.00699999975040555,none
123,C,moss_lichen,cropland,0.0,0.000699999975040555,0.000699999975040555,none
123,C,moss_lichen,built_up,0.0,0.0007999999797903001,0.0007999999797903001,none
123,C,moss_lichen,bare_sparse_vegetation,0.006000000052154064,0.006200000178068876,0.0002000001259148121,none
123,C,moss_lichen,permanent_water,0.00860000029206276,0.008700000122189522,9.999983012676239e-05,none
123,C,moss_lichen,snow_and_ice,0.020099999383091927,0.08049999922513962,0.06040000170469284,amplification
123,C,moss_lichen,herbaceous_wetland,0.046799998730421066,0.04659999907016754,-0.00019999966025352478,none
123,D,tree_cover,shrubland,0.16590000689029694,0.18700000643730164,0.0210999995470047,none
123,D,tree_cover,grassland,0.032999999821186066,0.024299999698996544,-0.008700000122189522,none
123,D,tree_cover,cropland,0.025699999183416367,0.02800000086426735,0.0023000016808509827,none
123,D,tree_cover,built_up,0.043800000101327896,0.05050000175833702,0.006700001657009125,none
123,D,tree_cover,bare_sparse_vegetation,0.02290000021457672,0.01940000057220459,-0.0034999996423721313,none
123,D,tree_cover,permanent_water,0.007699999958276749,0.00559999980032444,-0.0021000001579523087,none
123,D,tree_cover,snow_and_ice,0.004100000020116568,0.003599999938160181,-0.0005000000819563866,none
123,D,tree_cover,herbaceous_wetland,0.012900000438094139,0.014100000262260437,0.001199999824166298,none
123,D,tree_cover,moss_lichen,0.016599999740719795,0.019300000742077827,0.0027000010013580322,none
123,D,shrubland,tree_cover,0.18060000240802765,0.1736000031232834,-0.006999999284744263,persistence
123,D,shrubland,grassland,0.11680000275373459,0.08860000222921371,-0.028200000524520874,attenuation
123,D,shrubland,cropland,0.07559999823570251,0.08049999922513962,0.004900000989437103,persistence
123,D,shrubland,built_up,0.03700000047683716,0.04179999977350235,0.004799999296665192,none
123,D,shrubland,bare_sparse_vegetation,0.08839999884366989,0.08860000222921371,0.00020000338554382324,persistence
123,D,shrubland,permanent_water,0.008200000040233135,0.007199999876320362,-0.0010000001639127731,none
